RA_ICRS,DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,e_BPmag,e_RPmag,BP-RP,EDR3Name,_x,_y,e_BP-RP
121.06746575705,-64.40556656273,2.2148,0.0657,11.815,-5.02,0.092,10.695,0.076,17.197,0.003177,0.01853,0.006045,2.27579,Gaia EDR3 5275667861944345344,-3.924993575199892,0.678831859463586,0.01949109860936525
120.32691934569,-64.66114997271,2.6533,0.0309,13.821,-5.253,0.044,12.784,0.037,16.0224,0.003089,0.007224,0.00548,1.89718,Gaia EDR3 5275668828313835264,-4.174647051253245,0.35541795190023473,0.009067335661593212
120.46580029601,-64.51712096755,2.803,0.1294,13.623,-5.227,0.177,12.58,0.148,18.4247,0.00332,0.054504,0.007957,2.93338,Gaia EDR3 5275672122551814912,-4.031456467971191,0.4170779613509673,0.05508175619023053
118.04660006778,-65.38619940656,2.5889,0.0106,10.766,-3.709,0.014,10.107,0.013,12.6658,0.002776,0.002972,0.003858,0.848405,Gaia EDR3 5275696625342398848,-4.904196887663826,-0.6048419571518575,0.004870004928128923
116.96076099227,-65.34567211475,2.5581,0.0911,12.572,-4.021,0.136,11.912,0.114,18.0736,0.003049,0.039246,0.007594,2.68814,Gaia EDR3 5275708616890946944,-4.877628140792861,-1.059032957571529,0.039973958422953315
116.94610853904,-65.34445167815,2.2787,0.0874,12.477,-3.967,0.119,11.829,0.1,17.7473,0.002947,0.032386,0.005171,2.79716,Gaia EDR3 5275708612591842816,-4.876648753360883,-1.0651964523372692,0.032796222907523966
117.80488996902,-65.0509519896,2.4271,0.0395,12.735,-4.702,0.061,11.836,0.051,16.5933,0.002879,0.008927,0.00433,2.04659,Gaia EDR3 5275719130970724736,-4.571499768794498,-0.7144916796092492,0.009921704944211957
118.72078503601,-64.97382663614,2.4357,0.0122,12.452,-4.92,0.017,11.438,0.018,13.6042,0.002764,0.002927,0.003839,1.20079,Gaia EDR3 5275734455414142592,-4.4870202671163755,-0.3287583996056601,0.004827551139035194
118.7001965752,-64.9709250692,2.4213,0.011,12.401,-4.605,0.015,11.514,0.016,12.1882,0.002762,0.002838,0.003799,0.750473,Gaia EDR3 5275734455414142080,-4.484224613666889,-0.33751239360073304,0.004742008540692435
118.21636056121,-64.87015036109,2.6415,0.0118,13.568,-4.666,0.015,12.74,0.017,13.7099,0.009895,0.030645,0.027238,1.29468,Gaia EDR3 5275745691048395136,-4.386749046268536,-0.5444122491752905,0.041000300840359695
