  NGC 2516      7 58 49.99 -60 49.44 2000.0 3
--ID--  del_RA  del_DC    V     V-I    B-V    U-B   e(V) e(V-I)e(B-V)e(U-B)  --nobs-  BDA  Pmu FRH X HTR Ha  sp rlc Sp       name
    38 -20.279  10.932 14.647  1.235  1.036  0.592  0.004 0.004 0.004 0.013  2 2 2 1           190 +                         JTP004
    39 -20.242  22.152 15.800  0.958  0.864  0.492  0.012 0.016 0.014 0.021  2 2 2 1     
    40 -20.241  14.579 16.841  1.070  1.005  0.711  0.004 0.017 0.024 0.065  2 2 2 1     
    41 -20.087  15.760 16.089  0.637  0.476  0.074  0.004 0.006 0.005 0.016  2 2 2 1     
    42 -20.052  17.710 15.165  1.225  1.106  0.942  0.001 0.004 0.002 0.022  2 2 2 1     
    43 -19.901  21.440 16.179  1.128  0.993  0.509  0.017 0.017 0.017 0.030  2 2 2 1     
    44 -19.874   7.200 10.591  0.317  0.261  0.172  0.009 0.013 0.013 0.009  1 1 1 1 1321 0.99 191 +                         -60 934 JTP005
    45 -19.871   8.263 12.492  0.709  0.600  0.065  0.001 0.002 0.004 0.004  2 2 2 2 1323        6 R                         JTP006
    46 -19.849  11.444 14.285  1.038  0.927  0.522  0.005 0.005 0.007 0.011  2 2 2 1             7 R                         JTP007
    47 -19.795  13.433 16.928  1.062  0.914  0.305  0.035 0.035 0.036 0.036  2 2 1 1     
    48 -19.756   6.426 16.830  0.936  0.840  0.336  0.007 0.038 0.026 0.042  2 2 2 1     
    49 -19.697   3.997 16.307  1.582  1.372  1.306  0.002 0.005 0.010 0.088  2 2 1 1     
    50 -19.655  18.485 16.912  0.984  0.775  0.054  0.014 0.015 0.018 0.033  2 2 1 1     
    51 -19.648  21.460 15.363  0.824  0.682  0.103  0.012 0.024 0.013 0.010  2 2 2 1     
    52 -19.630  13.552 13.497  0.965  0.912  0.583  0.002 0.008 0.002 0.007  2 2 2 2 1328B
    53 -19.608  13.514 13.050  0.937  0.838  0.431  0.004 0.006 0.005 0.004  2 2 2 2 1328A
    54 -19.601  11.851 15.707  0.856  0.740  0.142  0.010 0.011 0.013 0.015  2 2 2 1     
    55 -19.591   8.423 16.096  2.211  1.473  1.114  0.018 0.025 0.019 0.072  2 2 2 1  
    56 -19.454  12.438 16.943  0.950  0.840  0.278  0.006 0.006 0.012 0.041  2 2 1 1          
    57 -19.446  12.945 11.278  0.501  0.412  0.079  0.014 0.014 0.024 0.020  1 1 1 2 1327 0.96
    58 -19.410  18.783 16.258  0.866  0.724  0.160  0.017 0.023 0.019 0.018  2 2 2 1     
    59 -19.289   9.007 11.980  0.648  0.529  0.055  0.008 0.009 0.008 0.001  2 2 2 2 1324
    60 -19.274   5.517 16.082  0.939  0.776  0.151  0.007 0.014 0.007 0.021  2 2 2 1     
