RA_ICRS          DE_ICRS          Source               Gmag        BP-RP      PMemb Cluster
119.64282668759  -61.45219360405  5289889946066884480  16.173720   1.928868   0.7  NGC_2516         
119.19350058864  -61.58236060632  5289864726018908544  16.926237   2.191035   0.3  NGC_2516         
119.86335546049  -61.51636613213  5289891423535761920  15.705265   1.691185   0.8  NGC_2516         
119.98137591875  -61.40386327696  5289894515912156544  15.340842   1.769223   0.8  NGC_2516         
120.05924491234  -61.45287182299  5289881768449288576  16.367655   1.972938   0.5  NGC_2516         
119.94306775020  -61.42871918745  5289893004083666304  10.633696   0.349327   0.2  NGC_2516         
119.72947963778  -61.62893289958  5289873315953700608  13.316041   1.026417   0.8  NGC_2516         
119.67760602546  -61.63805824159  5289872972356315520  14.170816   1.206268   0.8  NGC_2516         
120.29485215571  -61.52424220219  5289877576561348480  13.952659   1.137585   0.5  NGC_2516         
121.13929660975  -61.34479131355  5289930181318610432  10.764917   0.411609   0.8  NGC_2516         
119.58074998205  -61.54729832679  5289886166495716992  16.452208   2.002323   0.2  NGC_2516         
120.78182853827  -61.52718141695  5289921380929319168  17.236225   2.302458   0.4  NGC_2516         
119.57987172370  -61.39780746302  5289891114297950336  15.616593   1.696016   0.9  NGC_2516         
119.74149451558  -61.54422365518  5289885616739974016  16.914883   2.288784   0.8  NGC_2516         
119.73449588163  -61.52010052848  5289886407013890688  16.797386   2.162634   0.9  NGC_2516         
119.67125215088  -61.50494717048  5289886716251534336  13.255182   1.054050   0.2  NGC_2516         
119.45896826655  -61.65249673122  5289884036191998976  17.215230   1.726178   0.3  NGC_2516         
119.31905542724  -61.52736901158  5289888399878613376  15.525880   1.617205   1.0  NGC_2516         
119.98622134051  -61.67841466209  5289874724703122432  15.405951   1.572555   0.2  NGC_2516         
120.01350019392  -61.69576853916  5289874071868093568  16.030490   1.816688   0.1  NGC_2516         
119.24820706570  -61.55626726624  5289888262439659136  13.557940   1.060761   0.4  NGC_2516         
119.22520690444  -61.56646215116  5289888228079920640  16.441534   2.347565   0.8  NGC_2516         
119.98416898329  -61.32024360559  5289898020605414016  12.634859   0.886259   0.9  NGC_2516         
120.89492679894  -61.41848247331  5289931177754324864  12.125251   0.777231   0.5  NGC_2516         
120.10315075088  -61.30152313143  5289895477984777728  16.581558   2.035742   0.8  NGC_2516         
119.49936785350  -61.45191965058  5289890495822656640  12.709742   0.922838   0.7  NGC_2516         
120.18677929919  -61.41902005470  5289882039029655168  17.292498   2.357920   0.7  NGC_2516         
119.88657261973  -61.73038131516  5289868677389165952  17.680820   2.478457   0.2  NGC_2516         
120.19456386656  -61.62926908714  5289875858574494720  15.348097   1.854650   0.2  NGC_2516         
120.01615958349  -61.55819072150  5289878950950802688  16.538017   2.037886   0.2  NGC_2516         
120.84274895998  -61.36651762041  5289932277265953280  12.876329   0.928415   0.7  NGC_2516         
120.48103339745  -61.62056598012  5289922244222398336  11.601420   0.756351   0.5  NGC_2516         
119.95597356878  -61.21159400289  5289899910390965248  14.389246   1.499819   0.5  NGC_2516         
119.71733136905  -61.39973656174  5289896057802949120  17.773548   2.525530   0.7  NGC_2516         
120.98309035482  -61.41818099755  5289931310893785856  17.993334   2.625696   0.1  NGC_2516         
119.14577335924  -61.62725818012  5289864515563819008  17.194817   2.530787   0.3  NGC_2516         
120.00214057783  -61.33003258725  5289898329843059584  12.906015   1.074820   0.4  NGC_2516         
120.15990581778  -61.58181214051  5289876992445790080  14.566525   1.311691   0.7  NGC_2516         
120.54769400938  -61.50091466785  5289924099648208384  16.321882   1.912538   0.8  NGC_2516         
120.25359440097  -61.52417348384  5289877744061776896   8.351759   0.055889   0.4  NGC_2516         
120.19027355191  -61.39769583956  5289882348267322624  17.725517   2.510584   0.6  NGC_2516         
119.80357997130  -61.31937700971  5289897642648246784  17.275202   2.348642   0.4  NGC_2516         
120.48988024881  -61.08175721897  5290001134181211264   9.429441   0.122735   0.4  NGC_2516         
120.84439494423  -60.93338758575  5290000996742276224  13.253496   0.961576   0.7  NGC_2516         
120.51331089514  -61.19539641801  5289990894979321344  16.500994   2.049175   0.4  NGC_2516         
120.55085713418  -60.92388727860  5290003264484862720  15.850981   1.809119   0.7  NGC_2516         
120.60754413916  -61.25182572099  5289978010077507328  14.332691   1.282025   0.6  NGC_2516         
120.38568956279  -61.02094792876  5289996633055417728  17.231800   2.287029   0.7  NGC_2516         
120.30840326788  -61.36770467783  5289976085932146560   9.709427   0.157307   0.6  NGC_2516         
120.74104187059  -61.02869473077  5290000069029332736  12.784014   0.867814   0.7  NGC_2516         
120.92350163896  -61.20991670209  5289982545563048832  16.385859   2.306128   0.5  NGC_2516         
120.73701492086  -61.01655631763  5290000137748809856  15.249126   1.494871   0.6  NGC_2516         
120.92347226164  -60.90750623117  5290024533163062144   8.262502  -0.007738   0.7  NGC_2516         
120.85807466127  -60.98100710498  5289999862870907776  16.847480   2.154968   0.7  NGC_2516         
120.17674985617  -61.22220735076  5289992574306636672  12.615438   0.936801   0.4  NGC_2516         
120.90914490583  -61.20249189416  5289982713061723008  13.048918   0.911469   0.7  NGC_2516         
121.23531728812  -61.11447733994  5290006150703319936  11.246736   0.547118   0.8  NGC_2516         
121.04803541011  -61.00192279616  5290011235944456960  14.093894  99.999999   0.2  NGC_2516         
121.21176966186  -61.13119776533  5290005772746195968  17.337341   2.352751   0.7  NGC_2516         
120.98418904442  -60.83708666879  5290028102278347136  17.423752   2.595234   0.5  NGC_2516         
121.04878407204  -61.00228648088  5290011235944457088  13.081049   0.923429   1.0  NGC_2516         
121.44061763891  -61.04525132022  5290008281007108608  14.819480   1.362015   0.3  NGC_2516         
121.03768897175  -60.97368758105  5290011540883346688  15.486055   1.634676   0.9  NGC_2516         
120.91469538193  -60.97585174533  5289999927291775488  17.883802   2.444992   0.4  NGC_2516         
121.05735540029  -60.82211008298  5290026762248360960  12.293642   0.783526   0.5  NGC_2516         
121.14021704647  -60.73785429634  5290030339954374912  10.680352   0.341653   0.4  NGC_2516         
120.34845881327  -61.08320632009  5289996182079618560  15.561600   1.631478   1.0  NGC_2516         
120.72378700488  -61.02993676292  5290000034665282944  10.672154   0.352114   0.3  NGC_2516         
121.39744428308  -60.75967485101  5290032092305523712  16.309444   2.044467   0.5  NGC_2516         
121.40204878764  -60.76585289962  5290032092305523584  12.863089   0.885959   0.6  NGC_2516         
120.81633862217  -61.08458884255  5289987218487329024  16.819931   2.093254   0.7  NGC_2516         
120.46737020713  -61.44840181503  5289972031483161600  12.753855   0.898476   0.6  NGC_2516         
120.69969029929  -61.02111398997  5290000309547500800  11.557176   0.631342   0.8  NGC_2516         
120.34539050808  -61.50301883745  5289971447367604224  14.491478   1.268446   0.7  NGC_2516         
120.28420123303  -61.39147679891  5289975982852929408  17.702412   2.503996   0.6  NGC_2516         
120.88048804774  -60.96489692375  5290000721864368768  13.166029   0.936720   0.9  NGC_2516         
