# 
# Jeffries file, cross-matched with Gaia EDR3
# 
ID,RAJ2000,DEJ2000,V,B-V,V-I,F1,F2,F3,F4,F5,_x,_y,RA_ICRS,DE_ICRS,Source,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
269,118.58181249999998,-60.80462222222222,17.406,1.453,1.893,1,1,1,1,0,-0.443751,-0.043325,118.58192144655,-60.80463711567,5290732549932376448,2.3108,0.09,3.581,3.562,0.139,0.374,0.12,16.869543,0.003153,2.020031,0.010622158066984317
274,118.5822125,-60.82083611111111,14.64,0.939,1.077,1,1,1,1,0,-0.44333,-0.059517,118.58232413698,-60.8208329699,5290732446853160320,1.9006,0.0149,4.171,3.372,0.02,2.455,0.019,14.379583,0.002761,1.179276,0.004813728077072904
289,118.58397916666665,-61.10735555555556,19.145,99.999,2.62,0,1,0,1,0,-0.438553,-0.345935,118.58398975135,-61.10728683653,5290690665411637632,2.3081,0.0931,12.576,-4.537,0.12,11.729,0.123,18.04025,0.002964,2.740412,0.03256002065417035
317,118.58761249999999,-60.45221111111111,17.072,1.424,1.779,1,1,1,1,0,-0.445683,0.309089,118.58789692907,-60.45223306036,5290940735585941376,2.0685,0.037,12.052,11.958,0.048,-1.508,0.055,16.427912,0.002802,1.822328,0.007581400728097678
322,118.58814999999998,-60.970333333333336,18.283,1.659,2.406,1,1,1,1,0,-0.43842,-0.2089,118.58817462687,-60.97026783071,5290703649094456960,2.3979,0.0565,11.517,-4.206,0.081,10.721,0.077,17.273737,0.003271,2.442961,0.01747489685234222
324,118.58834999999999,-61.188399999999994,14.802,1.128,1.294,1,1,1,1,1,-0.435267,-0.426974,118.58847867911,-61.18836266888,5290686473523633664,0.4346,0.0147,7.448,0.397,0.02,7.438,0.018,14.448563,0.002761,1.41976,0.0048241799303093994
333,118.58941666666666,-60.37045277777778,16.792,1.43,1.753,1,1,1,1,0,-0.446045,0.390857,118.58943552985,-60.37046914965,5290942178695313024,2.0818,0.0326,10.964,-10.956,0.039,-0.417,0.039,16.189877,0.002793,1.806373,0.006058833221008811
394,118.59616666666666,-60.68606111111111,17.928,1.654,2.285,1,1,1,1,0,-0.438391,0.075381,118.59622695765,-60.68601719913,5290922112608082048,2.5024,0.0489,12.008,-4.311,0.068,11.207,0.062,16.959631,0.003053,2.27291,0.013060594358604053
397,118.59662083333332,-60.57924444444445,13.353,0.766,0.901,1,1,1,1,1,-0.439598,0.182232,118.59673413812,-60.57916095153,5290927227910555520,1.5973,0.0091,17.655,-3.237,0.012,17.355,0.012,13.167879,0.002758,0.999453,0.004743200607184984
412,118.59838333333332,-60.865008333333336,15.784,1.335,1.616,1,1,1,1,1,-0.434885,-0.103512,118.59841671076,-60.86493973551,5290731312981791872,2.3181,0.0273,11.856,-4.42,0.037,11.002,0.035,15.249939,0.002776,1.699961,0.005363524960322269
414,118.59845416666666,-60.987097222222225,14.999,1.068,1.265,1,1,1,1,1,-0.433183,-0.225594,118.59849812514,-60.98703162929,5290703584673116032,2.4069,0.0158,12.349,-4.792,0.021,11.382,0.021,14.665022,0.00279,1.366522,0.005198901807112729
418,118.59887083333334,-60.47416388888889,14.633,1.051,1.146,1,1,1,1,0,-0.439976,0.287301,118.59886933211,-60.47409713691,5290940666866457984,0.4876,0.0141,17.72,-10.339,0.018,14.392,0.018,14.361615,0.002761,1.263496,0.004839519397626173
426,118.5997625,-61.184099999999994,14.962,1.232,1.384,1,1,1,1,1,-0.429855,-0.422607,118.59983029484,-61.1840700116,5290686507883372288,0.1825,0.015,6.246,-2.179,0.02,5.853,0.019,14.54709,0.002761,1.499963,0.004916973561043419
447,118.60211666666666,-60.332394444444446,15.872,1.247,1.477,1,1,1,1,0,-0.440218,0.429058,118.6022650993,-60.33235164969,5290951112226981632,2.3801,0.0233,12.121,-4.616,0.027,11.208,0.029,15.419711,0.002874,1.568111,0.006402243747312343
462,118.60347499999999,-61.03630277777778,21.167,99.999,3.238,0,1,0,1,0,-0.430108,-0.27464,118.6034668827,-61.03611460494,5290691451387252864,1.9085,0.219,32.052,-9.492,0.294,30.615,0.325,19.492718,0.003791,2.515829,0.08442895447060801
471,118.60560833333332,-60.597008333333335,18.733,99.999,2.505,0,1,0,1,0,-0.435078,0.164638,118.60545272079,-60.59681436786,5290926957330802304,2.6421,0.0736,44.404,-24.429,0.101,37.079,0.101,17.708073,0.002943,2.701689,0.03865695934757414
474,118.60581666666666,-60.75405277777778,15.576,1.271,1.398,1,1,1,1,0,-0.432757,0.007431,118.6058615129,-60.75403629534,5290733232827783552,0.15,0.0194,5.349,-2.055,0.028,4.939,0.025,15.179996,0.002769,1.545432,0.005486306043231639
488,118.60872499999999,-61.019419444444445,16.819,1.501,2.099,1,1,1,1,1,-0.427641,-0.257952,118.60902419163,-61.01946195114,5290703309795282304,3.633,0.0276,19.21,17.51,0.036,-7.9,0.036,16.00755,0.002783,2.121437,0.006644800147483745
