# 
# Source: WEBDA
# 
# F1  V vs B-V membership flag
# F2  V vs V-I membership flag
# F3  B-V vs V-I membership flag
# F4  Candidate membership flag
# F5  Binarity flag
# 
# ID    RAh RAm RAs  DE- DEd DEm DEs      V     B-V     V-I  F1 F2 F3 F4 F5
     ID              RAJ2000               DEJ2000     Vmag      B-V      V-I   F1   F2   F3   F4   F5  
     36   118.54913749999999            -60.559225   16.385    0.808    2.125   -1   -1   -1   -1    0  
     37   118.54917916666666   -60.895152777777774   17.115     0.91    1.044   -1   -1    1   -1    0  
     38   118.54947499999999   -60.522463888888886   18.235    0.746    1.053   -1   -1   -1   -1    0  
     39   118.54950416666667   -60.404536111111106   16.795    0.675    0.882   -1   -1    1   -1    0  
     40   118.55030416666665    -60.56547222222222   12.913    1.662    1.771   -1   -1   -1   -1    0  
     41   118.55034583333332             -60.56315   16.975    0.892    1.867   -1    1   -1   -1    0  
     42            118.55035    -60.98868888888889   16.442    1.061    1.251   -1   -1    1   -1    0  
     43   118.55045416666665   -61.203297222222226   15.705    1.088     1.28   -1   -1    1   -1    0  
     44   118.55067916666665   -60.559355555555555   15.882    1.278    1.559    1    1    1    1    0  
     45          118.5506875   -60.459494444444445   19.139    0.769    0.974   -1   -1    1   -1    0  
     46   118.55074583333332    -60.95011111111111   16.409    0.598    0.808   -1   -1    1   -1    0  
     47          118.5507875    -61.11903888888889   19.748   -9.999    2.157    0   -1    0   -1    0  
     48   118.55079583333332    -60.88283333333333   17.791    0.895    1.129   -1   -1    1   -1    0  
     49   118.55082499999999    -60.74126388888889   19.319   -9.999    0.928    0   -1    0   -1    0  
     50   118.55088333333332    -60.61301944444445   19.521   -9.999    1.427    0   -1    0   -1    0  
     51   118.55097916666665   -60.335597222222226   18.069    0.726    0.954   -1   -1    1   -1    0  
     52   118.55107916666665    -61.03351111111111    19.86   -9.999    2.204    0   -1    0   -1    0  
     53   118.55155416666665    -60.54108055555555   16.952    0.837    0.973   -1   -1    1   -1    0  
     54   118.55172916666665    -60.99635277777778   16.275    0.762    1.005   -1   -1   -1   -1    0  
     55   118.55199999999999            -60.394425   16.017    0.626    0.824   -1   -1    1   -1    0  
     56   118.55201666666666   -60.665552777777776   17.739    0.622     0.96   -1   -1   -1   -1    0  
     57   118.55253749999999            -60.783125   17.637    0.949    0.978   -1   -1    1   -1    0  
     58   118.55256666666665    -60.47201944444445   19.845   -9.999    0.439    0   -1    0   -1    0  
